Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Gender
N/A, Aesop B & Tea Balancing Toner 200ml     5 stars out of a maximum of 5                                            1     £39.00       ,0,5 stars out of a maximum of 5,https://www.lookfantastic.com/p/aesop-b-tea-balancing-toner-200ml/10366326/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/10366326-4104965872246619.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Dr. Hauschka Facial Toner 100ml   Shop on our App for 20% off*       4.36 stars out of a maximum of 5                                            11     £27.00       ,0,4.36 stars out of a maximum of 5,https://www.lookfantastic.com/p/dr.-hauschka-facial-toner-100ml/10963983/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/10963983-2014918495238112.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Lumene Nordic Hydra [Lähde] Aqua Lumenessence Beauty Lotion   Shop on our App for 20% off*       4.87 stars out of a maximum of 5                                            23     £15.90       ,0,4.87 stars out of a maximum of 5,https://www.lookfantastic.com/p/lumene-nordic-hydra-lahde-aqua-lumenessence-beauty-lotion/11811974/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11811974-6804946484644046.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Aesop B & Tea Balancing Toner 100ml   Save 10%       4.17 stars out of a maximum of 5                                            6   RRP: £25.00Current price: £22.50     ,0,4.17 stars out of a maximum of 5,https://www.lookfantastic.com/p/aesop-b-tea-balancing-toner-100ml/11246311/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11246311-8934965868273578.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Aesop Parsley Seed Anti-Oxidant Facial Toner 100ml     5 stars out of a maximum of 5                                            1     £30.00       ,0,5 stars out of a maximum of 5,https://www.lookfantastic.com/p/aesop-parsley-seed-anti-oxidant-facial-toner-100ml/11246313/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11246313-8644965868407444.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Aesop In Two Minds Facial Toner 100ml     5 stars out of a maximum of 5                                            1     £25.00       ,0,5 stars out of a maximum of 5,https://www.lookfantastic.com/p/aesop-in-two-minds-facial-toner-100ml/11751695/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11751695-1294965869489919.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Omorovicza Queen Of Hungary Mist (100ml)   Shop on our App for 20% off*       4.38 stars out of a maximum of 5                                            24     £62.00      100ml    ,0,4.38 stars out of a maximum of 5,https://www.lookfantastic.com/p/omorovicza-queen-of-hungary-mist-100ml/10448809/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/10448809-1415163934697592.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, BARBER PRO Facial Mask Trio (Worth £14.85)   Save 20%       4.75 stars out of a maximum of 5                                            8   RRP: £11.00Current price: £8.80     ,0,4.75 stars out of a maximum of 5,https://www.lookfantastic.com/p/barber-pro-facial-mask-trio/11715477/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/1600/1600/11715477-1064563639558651.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Caudalie Beauty Elixir Duo 2 x 100ml   Complimentary Gift       4.88 stars out of a maximum of 5                                            8     £64.00       ,0,4.88 stars out of a maximum of 5,https://www.lookfantastic.com/p/caudalie-beauty-elixir-duo-2-x-100ml/10839655/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/10839655-9085214171558369.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Aesop In Two Minds Facial Toner 200ml     5 stars out of a maximum of 5                                            3     £39.00       ,0,5 stars out of a maximum of 5,https://www.lookfantastic.com/p/aesop-in-two-minds-facial-toner-200ml/11751694/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11751694-2144965869428170.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
N/A, Natura Bissé Tolerance Toner 200ml   Shop on our App for 20% off*       4 stars out of a maximum of 5                                            2     £52.00       ,0,4 stars out of a maximum of 5,https://www.lookfantastic.com/p/natura-bisse-tolerance-toner-200ml/11329120/,https://www.lookfantastic.com/images?url=https://static.thcdn.com/productimg/original/11329120-1424933243712256.jpg&format=webp&auto=avif&width=640&height=640&fit=crop,Toners,No range,Mens
